lat,long,prof_km,mag_m,mag_ms,mag_mw,type,fecha,hora
-13.5,-75.26,25,3.4,0.0,0.0,historico,1945-12-06,21:00:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-12-12,03:25:00
-13.5,-75.26,30,3.0,0.0,0.0,historico,1945-12-14,20:15:00
-6.2,-77.3,40,4.1,0.0,0.0,historico,1945-12-15,00:32:00
-16.5,-72.1,15,4.1,0.0,0.0,historico,1945-12-20,02:00:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1945-12-21,07:56:00
-10.6,-75.65,30,4.2,0.0,0.0,historico,1945-12-28,20:00:00
-14.9,-75.1,90,4.7,0.0,0.0,historico,1946-01-01,10:25:00
-10.6,-75.65,25,4.4,0.0,0.0,historico,1946-01-05,02:38:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1946-01-15,03:55:00
-15.8,-74.6,50,4.3,0.0,0.0,historico,1946-02-04,19:30:00
-11.8,-75.1,40,3.4,0.0,0.0,historico,1946-02-06,17:52:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1946-02-08,17:00:00
-13.0,-76.2,80,4.7,0.0,0.0,historico,1946-02-14,20:30:00
-5.65,-78.0,40,4.4,0.0,0.0,historico,1946-02-17,03:40:00
-12.0,-77.5,40,4.1,0.0,0.0,historico,1946-02-17,18:14:00
-13.57,-71.96,25,3.4,0.0,0.0,historico,1946-02-21,05:48:00
-11.8,-77.5,40,3.8,0.0,0.0,historico,1946-03-05,21:15:00
-11.15,-75.9,30,3.9,0.0,0.0,historico,1946-03-09,23:24:00
-4.4,-81.6,30,4.6,0.0,0.0,historico,1946-03-18,05:25:00
-15.6,-74.8,50,4.2,0.0,0.0,historico,1946-03-27,10:30:00
-9.8,-78.6,50,4.6,0.0,0.0,historico,1946-04-04,10:48:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1946-04-06,12:50:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1946-04-09,05:50:00
-15.6,-74.8,60,4.3,0.0,0.0,historico,1946-04-13,13:00:00
-15.6,-74.8,60,4.3,0.0,0.0,historico,1946-04-16,18:30:00
-12.0,-77.8,40,4.3,0.0,0.0,historico,1946-04-17,04:40:00
-13.44,-72.51,25,3.6,0.0,0.0,historico,1946-04-17,12:30:00
-13.5,-76.0,90,4.2,0.0,0.0,historico,1946-05-05,05:00:00
-16.5,-71.72,20,3.5,0.0,0.0,historico,1946-05-06,12:30:00
-15.65,-74.15,20,4.1,0.0,0.0,historico,1946-05-07,18:18:00
-17.9,-70.0,30,3.7,0.0,0.0,historico,1946-05-08,10:45:00
-12.0,-77.8,40,4.8,0.0,0.0,historico,1946-05-10,04:10:00
-18.1,-69.85,30,3.4,0.0,0.0,historico,1946-05-22,09:20:00
-17.3,-72.4,30,4.2,0.0,0.0,historico,1946-05-26,04:00:00
-17.3,-72.4,30,4.2,0.0,0.0,historico,1946-05-26,23:15:00
-11.2,-78.0,40,3.9,0.0,0.0,historico,1946-05-29,05:50:00
-13.544,-71.964,25,3.3,0.0,0.0,historico,1946-05-30,11:56:00
-15.6,-74.8,60,3.8,0.0,0.0,historico,1946-06-01,23:15:00
-10.7,-78.2,40,3.9,0.0,0.0,historico,1946-06-04,08:35:00
-11.66,-76.32,30,3.0,0.0,0.0,historico,1946-06-05,23:00:00
-5.85,-77.0,30,4.4,0.0,0.0,historico,1946-06-10,12:00:00
-17.3,-72.4,30,4.2,0.0,0.0,historico,1946-06-15,23:05:00
-3.617,-81.331,30,4.9,0.0,0.0,historico,1946-06-26,15:20:00
-17.8,-70.2,30,3.6,0.0,0.0,historico,1946-06-27,06:45:00
-5.6,-78.96,20,3.4,0.0,0.0,historico,1946-07-01,06:00:00
-8.3,-79.4,40,4.7,0.0,0.0,historico,1946-07-03,22:16:00
-15.65,-74.15,20,4.6,0.0,0.0,historico,1946-07-03,23:41:00
-5.6,-78.96,20,3.4,0.0,0.0,historico,1946-07-12,11:15:00
-5.6,-78.96,25,3.0,0.0,0.0,historico,1946-07-12,18:00:00
-5.6,-78.96,25,3.0,0.0,0.0,historico,1946-07-13,07:43:00
-18.1,-70.0,30,4.2,0.0,0.0,historico,1946-07-18,06:51:00
-4.0,-80.7,30,4.2,0.0,0.0,historico,1946-07-23,09:35:00
-19.75,-70.5,200,0.0,6.8,0.0,historico,1946-07-26,01:44:45
-9.0,-75.2,30,4.6,0.0,0.0,historico,1946-08-01,16:21:00
-18.0,-69.2,30,4.2,0.0,0.0,historico,1946-08-06,08:17:00
-9.04,-77.78,25,3.2,0.0,0.0,historico,1946-08-07,10:15:00
-9.6,-78.7,40,4.4,0.0,0.0,historico,1946-08-12,10:38:00
-14.4,-76.3,40,4.6,0.0,0.0,historico,1946-08-16,08:18:00
-9.4,-75.4,30,4.6,0.0,0.0,historico,1946-08-17,10:32:00
-6.2,-77.3,20,4.1,0.0,0.0,historico,1946-08-24,20:20:00
-5.0,-78.9,30,3.9,0.0,0.0,historico,1946-09-02,05:10:00
-15.8,-74.6,60,4.4,0.0,0.0,historico,1946-09-16,07:56:00
